Scientific name,Common name,"IUCN Red
List (2017-1)
Category","Year of
Assessment","Date last recorded in
the wild",Type
Bos sauveli Kouprey,,CR(PE) 2008,,1969/70,MAMMALS
Crateromys australis Dinagat Crateromys,,CR(PE) 2008,,1975,MAMMALS
Crocidura trichura Christmas Island Shrew,,CR(PE) 2008,,1985,MAMMALS
Cryptochloris wintoni De Winton's Golden Mole,,CR(PE) 2008,,1937,MAMMALS
Dendrolagus mayri Wondiwoi Tree-kangaroo,,CR(PE) 2008,,1928,MAMMALS
Dipodomys gravipes San Quintin Kangaroo Rat,,CR(PE) 2008,,1986,MAMMALS
Lipotes vexillifer Baiji,,CR(PE) 2008,,2002,MAMMALS
Melanomys zunigae Zuniga's Dark Rice Rat,,CR(PE) 2008,,1949,MAMMALS
Mesocapromys nanus Dwarf Hutia,,CR(PE) 2008,,1937,MAMMALS
Mesocapromys sanfelipensis Little Earth Hutia,,CR(PE) 2008,,1978,MAMMALS
Monodelphis unistriata Single-striped Opossum,,CR(PE) 2011,,1899,MAMMALS
Murina tenebrosa Gloomy Tube-nosed Bat,,CR(PE) 2008,,1962,MAMMALS
Mystacina robusta New Zealand Greater Short-tailed Bat,,CR(PE) 2008,,1967,MAMMALS
Nilopegamys plumbeus Ethiopian Amphibious Rat,,CR(PE) 2008,,1920s,MAMMALS
Nyctophilus howensis Lord Howe Long-eared Bat,,CR(PE) 2008,,1972,MAMMALS
Peromyscus guardia Angel Island Mouse,,CR(PE) 2008,,1991,MAMMALS
Peromyscus mekisturus Puebla Deer Mouse,,CR(PE) 2008,,Before 1948,MAMMALS
Phalanger matanim Telefomin Cuscus,,CR(PE) 2008,,Possibly 1997,MAMMALS
Pharotis imogene Thomas's Big-eared Bat,,CR(PE) 2008,,1890,MAMMALS
Piliocolobus bouvieri Bouvier’s Red Colobus,,CR(PE) 2008,,1970s,MAMMALS
Pipistrellus murrayi Christmas Island Pipistrelle,,CR(PE) 2009,,2009,MAMMALS
Pteralopex pulchra Montane Monkey-faced Bat,,CR(PE) 2008,,?,MAMMALS
Pteropus aruensis Aru Flying Fox,,CR(PE) 2008,,1992,MAMMALS
Pteropus tuberculatus Vanikoro Flying Fox,,CR(PE) 2008,,Before 1930,MAMMALS
Uromys emmae Emma's Giant Rat,,CR(PE) 2008,,1946,MAMMALS
1886-1888 (confirmed); Uromys imperator Emperor Rat,,CR(PE) 2008,,1960s (possible),MAMMALS
Uromys porculus Guadalcanal Rat,,CR(PE) 2008,,presumably 1886-1888,MAMMALS
Viverra civettina Malabar Civet,,CR(PE) 2015,,?,MAMMALS
Acrocephalus longirostris Moorea Reed-warbler,,CR(PE) 2016,,1987,BIRDS
Callaeas cinereus South Island Kokako,,CR(PE) 2016,,2007,BIRDS
Campephilus imperialis Imperial Woodpecker,,CR(PE) 2013,,1956,BIRDS
Cichlocolaptes mazarbarnetti Cryptic Treehunter,,CR(PE) 2016,,2007,BIRDS
Cyanopsitta spixii Spix's Macaw,,CR(PEW) 2013,,2000,BIRDS
Eriocnemis godini Turquoise-throated Puffleg,,CR(PE) 2012,,1850,BIRDS
Eurostopodus exul New Caledonian Nightjar,,CR(PE) 2014,,1939,BIRDS
Hemignathus affinis Maui Nukupuu,,CR(PE) 2016,,1896,BIRDS
Hemignathus hanapepe Kauai Nukupuu,,CR(PE) 2016,,1899,BIRDS
Hydrobates macrodactylus Guadalupe Storm-petrel,,CR(PE) 2012,,1912,BIRDS
Loxops ochraceus Maui Akepa,,CR(PE) 2016,,1988,BIRDS
Melamprosops phaeosoma Poo-uli,,CR(PE) 2012,,2004,BIRDS
Myadestes lanaiensis Olomao,,CR(PE) 2013,,1994,BIRDS
Numenius borealis Eskimo Curlew,,CR(PE) 2012,,1963,BIRDS
Paroreomyza maculata Oahu Alauahio,,CR(PE) 2012,,1985,BIRDS
Pomarea mira Ua Pou Monarch,,CR(PE) 2013,,2010,BIRDS
Psittirostra psittacea Ou,,CR(PE) 2012,,1989,BIRDS
Pterodroma caribbaea Jamaica Petrel,,CR(PE) 2013,,1879,BIRDS
Pyrrhura subandina Sinu Parakeet,,CR(PE) 2014,,1949,BIRDS
Siphonorhis americana Jamaican Pauraque,,CR(PE) 2012,,1860,BIRDS
Turnix novaecaledoniae New Caledonian Buttonquail,,CR(PE) 2014,,1911,BIRDS
Vermivora bachmanii Bachman's Warbler,,CR(PE) 2013,,1988,BIRDS
Alinea lanceolata Barbados Skink,,CR(PE) 2015,,1889,REPTILES
Anolis roosevelti Culebra Giant Anole,,CR(PE) 2009,,1932,REPTILES
Borikenophis sanctaecrucis Saint Croix Racer,,CR(PE) 2015,,19th or early 20th Century,REPTILES
Calamaria prakkei Prakke's Reed Snake,,CR(PE) 2011,,?,REPTILES
Capitellum mariagalantae Marie-Galante Skink,,CR(PE) 2015,,1830s,REPTILES
Capitellum metallicum Lesser Martinique Skink,,CR(PE) 2015,,before 1879,REPTILES
Capitellum parvicruzae Lesser Saint Croix Skink,,CR(PE) 2013,,?,REPTILES
Celestus anelpistus Giant Hispaniolan Galliwasp,,CR(PE) 2004,,1977,REPTILES
Contomastix vittata,,CR(PE) 2009,,?,REPTILES
Cynisca gansi,,CR(PE),2012,?,REPTILES
Erythrolamprus cursor,Lacépède's Ground Snake,CR(PE),2015,1968,REPTILES
Gallotia auaritae,La Palma Giant Lizard,CR(PE),2008,?,REPTILES
Hypsirhynchus ater,Jamaican Racer,CR(PE),2015,1900,REPTILES
Hypsirhynchus melanichnus,La Vega Racer,CR(PE),2015,1910,REPTILES
Leiocephalus endomychus,Central Haitian Curlytail,CR(PE),2015,1976,REPTILES
Leiocephalus pratensis,Atalaye Curlytail Lizard,CR(PE),2015,1966,REPTILES
Leiocephalus rhutidira,Lapierre Curlytail Lizard,CR(PE),2015,1978,REPTILES
Lepidoblepharis miyatai,,CR(PE),2013,1964,REPTILES
Liolaemus cranwelli,Cranwell's Tree Iguana,CR(PE),2014,1973,REPTILES
Mabuya hispaniolae,Hispaniolan Two-lined Skink,CR(PE),2015,1937,REPTILES
Mabuya mabouya,Greater Martinique Skink,CR(PE),2015,1889,REPTILES
Mabuya montserratae,Montserrat Skink,CR(PE),2015,1984,REPTILES
Mitophis leptepileptus,Haitian Border Threadsnake,CR(PE),2015,1984,REPTILES
Omoadiphas cannula,,CR(PE),2012,1989,REPTILES
Pseudoxyrhopus ankafinaensis,,CR(PE),2011,1881,REPTILES
Rhampholeon chapmanorum,Chapman's Pygmy Chameleon,CR(PE),2014,1998,REPTILES
Sphaerodactylus elasmorhynchus,Marche Leon Least Gecko,CR(PE),2015,1966,REPTILES
