"",IUCN Red
Date last recorded in Scientific name Common name,Year of List (2017-1)
"",the wildCategoryAssessment
"",IUCN Red,
Date last recorded in Scientific name Common name,Year of List (2017-1),
"",the wildCategoryAssessment,
MAMMALS,,
Bos sauveli Kouprey,CR(PE) 2008,1969/70
Crateromys australis Dinagat Crateromys,CR(PE) 2008,1975
Crocidura trichura Christmas Island Shrew,CR(PE) 2008,1985
Cryptochloris wintoni De Winton's Golden Mole,CR(PE) 2008,1937
Dendrolagus mayri Wondiwoi Tree-kangaroo,CR(PE) 2008,1928
Dipodomys gravipes San Quintin Kangaroo Rat,CR(PE) 2008,1986
Lipotes vexillifer Baiji,CR(PE) 2008,2002
Melanomys zunigae Zuniga's Dark Rice Rat,CR(PE) 2008,1949
Mesocapromys nanus Dwarf Hutia,CR(PE) 2008,1937
Mesocapromys sanfelipensis Little Earth Hutia,CR(PE) 2008,1978
Monodelphis unistriata Single-striped Opossum,CR(PE) 2011,1899
Murina tenebrosa Gloomy Tube-nosed Bat,CR(PE) 2008,1962
Mystacina robusta New Zealand Greater Short-tailed Bat,CR(PE) 2008,1967
Nilopegamys plumbeus Ethiopian Amphibious Rat,CR(PE) 2008,1920s
Nyctophilus howensis Lord Howe Long-eared Bat,CR(PE) 2008,1972
Peromyscus guardia Angel Island Mouse,CR(PE) 2008,1991
Peromyscus mekisturus Puebla Deer Mouse,CR(PE) 2008,Before 1948
Phalanger matanim Telefomin Cuscus,CR(PE) 2008,Possibly 1997
Pharotis imogene Thomas's Big-eared Bat,CR(PE) 2008,1890
Piliocolobus bouvieri Bouvier’s Red Colobus,CR(PE) 2008,1970s
Pipistrellus murrayi Christmas Island Pipistrelle,CR(PE) 2009,2009
Pteralopex pulchra Montane Monkey-faced Bat,CR(PE) 2008,?
Pteropus aruensis Aru Flying Fox,CR(PE) 2008,1992
Pteropus tuberculatus Vanikoro Flying Fox,CR(PE) 2008,Before 1930
Uromys emmae Emma's Giant Rat,CR(PE) 2008,1946
1886-1888 (confirmed); Uromys imperator Emperor Rat,CR(PE) 2008,
"",,1960s (possible)
Uromys porculus Guadalcanal Rat,CR(PE) 2008,presumably 1886-1888
Viverra civettina Malabar Civet,CR(PE) 2015,?
BIRDS,,
Acrocephalus longirostris Moorea Reed-warbler,CR(PE) 2016,1987
Callaeas cinereus South Island Kokako,CR(PE) 2016,2007
Campephilus imperialis Imperial Woodpecker,CR(PE) 2013,1956
Cichlocolaptes mazarbarnetti Cryptic Treehunter,CR(PE) 2016,2007
Cyanopsitta spixii Spix's Macaw,CR(PEW) 2013,2000
Eriocnemis godini Turquoise-throated Puffleg,CR(PE) 2012,1850
Eurostopodus exul New Caledonian Nightjar,CR(PE) 2014,1939
Hemignathus affinis Maui Nukupuu,CR(PE) 2016,1896
Hemignathus hanapepe Kauai Nukupuu,CR(PE) 2016,1899
Hydrobates macrodactylus Guadalupe Storm-petrel,CR(PE) 2012,1912
Loxops ochraceus Maui Akepa,CR(PE) 2016,1988
Melamprosops phaeosoma Poo-uli,CR(PE) 2012,2004
Myadestes lanaiensis Olomao,CR(PE) 2013,1994
Numenius borealis Eskimo Curlew,CR(PE) 2012,1963
Paroreomyza maculata Oahu Alauahio,CR(PE) 2012,1985
Pomarea mira Ua Pou Monarch,CR(PE) 2013,2010
Psittirostra psittacea Ou,CR(PE) 2012,1989
Pterodroma caribbaea Jamaica Petrel,CR(PE) 2013,1879
Pyrrhura subandina Sinu Parakeet,CR(PE) 2014,1949
Siphonorhis americana Jamaican Pauraque,CR(PE) 2012,1860
Turnix novaecaledoniae New Caledonian Buttonquail,CR(PE) 2014,1911
Vermivora bachmanii Bachman's Warbler,CR(PE) 2013,1988
REPTILES,,
Alinea lanceolata Barbados Skink,CR(PE) 2015,1889
Anolis roosevelti Culebra Giant Anole,CR(PE) 2009,1932
Borikenophis sanctaecrucis Saint Croix Racer,CR(PE) 2015,19th or early 20th Century
Calamaria prakkei Prakke's Reed Snake,CR(PE) 2011,?
Capitellum mariagalantae Marie-Galante Skink,CR(PE) 2015,1830s
Capitellum metallicum Lesser Martinique Skink,CR(PE) 2015,before 1879
Capitellum parvicruzae Lesser Saint Croix Skink,CR(PE) 2013,?
Celestus anelpistus Giant Hispaniolan Galliwasp,CR(PE) 2004,1977
Contomastix vittata,CR(PE) 2009,?
"",Scientific name,Common name,"IUCN RedList (2017-1)Category","Year ofAssessment","Date last recorded inthe wild"
"",Cynisca gansi,,CR(PE),2012,?
"",Erythrolamprus cursor,Lacépède's Ground Snake,CR(PE),2015,1968
"",Gallotia auaritae,La Palma Giant Lizard,CR(PE),2008,?
"",Hypsirhynchus ater,Jamaican Racer,CR(PE),2015,1900
"",Hypsirhynchus melanichnus,La Vega Racer,CR(PE),2015,1910
"",Leiocephalus endomychus,Central Haitian Curlytail,CR(PE),2015,1976
"",Leiocephalus pratensis,Atalaye Curlytail Lizard,CR(PE),2015,1966
"",Leiocephalus rhutidira,Lapierre Curlytail Lizard,CR(PE),2015,1978
"",Lepidoblepharis miyatai,,CR(PE),2013,1964
"",Liolaemus cranwelli,Cranwell's Tree Iguana,CR(PE),2014,1973
"",Mabuya hispaniolae,Hispaniolan Two-lined Skink,CR(PE),2015,1937
"",Mabuya mabouya,Greater Martinique Skink,CR(PE),2015,1889
"",Mabuya montserratae,Montserrat Skink,CR(PE),2015,1984
"",Mitophis leptepileptus,Haitian Border Threadsnake,CR(PE),2015,1984
"",Omoadiphas cannula,,CR(PE),2012,1989
"",Pseudoxyrhopus ankafinaensis,,CR(PE),2011,1881
"",Rhampholeon chapmanorum,Chapman's Pygmy Chameleon,CR(PE),2014,1998
"",Sphaerodactylus elasmorhynchus,Marche Leon Least Gecko,CR(PE),2015,1966
"",Sphaerodactylus lazelli,Cap-Haitien Least Gecko,CR(PE),2015,1960
"",Sphaerodactylus williamsi,Haitian Striped Sphaero,CR(PE),2015,before 1983
"",Spondylurus anegadeae,Anegada Skink,CR(PE),2015,1966
"",Spondylurus haitiae,Hispaniolan Four-lined Skink,CR(PE),2015,1857-1858
"",Spondylurus lineolatus,Hispaniolan Ten-lined Skink,CR(PE),2015,1985
"",Spondylurus magnacruzae,Greater Saint Croix Skink,CR(PE),2013,2000
"",Spondylurus martinae,Saint Martin Skink,CR(PE),2015,1965
"",Spondylurus monitae,Monito Skink,CR(PE),2013,1993
"",Spondylurus spilonotus,Greater Virgin Islands Skink,CR(PE),2013,1877
"",Stenocercus haenschi,Haensch's Whorltail Iguana,CR(PE),2009,1901
"",Trimetopon viquezi,Viquez's Tropical Ground Snake,CR(PE),2012,1927
"",,,,,
"",AMPHIBIANS,,,,
"",Altiphrynoides osgoodi,Osgood's Ethiopian Toad,CR(PE),2012,2003
"",Andinobates abditus,Collins' Poison Frog,CR(PE),2004,?
"",Aquiloeurycea praecellens,Admirable False Brook Salamander,CR(PE),2009,24 December 1940
"",Aromobates nocturnus,Skunk Frog,CR(PE),2006,1991
"",Arthroleptides dutoiti,Du Toit's Torrent Frog,CR(PE),2004,1962
"",Arthroleptis kutogundua,Overlooked Squeaker Frog,CR(PE),2012,1930
"",Arthroleptis troglodytes,Cave Squeaker,CR(PE),2014,1962
"",Atelopus ardila,,CR(PE),2012,1989
"",Atelopus balios,Rio Pescado Stubfoot Toad,CR(PE),2004,1995
"",Atelopus carbonerensis,La Carbonera Stubfoot Toad,CR(PE),2004,1998
"",Atelopus chiriquiensis,Lewis' Stubfoot Toad,CR(PE),2008,Late 1990s
"",Atelopus chirripoensis,,CR(PE),2012,1980
"",Atelopus chrysocorallus,,CR(PE),2004,1988
"",Atelopus eusebiodiazi,,CR(PE),2010,1997
"",Atelopus famelicus,,CR(PE),2009,1993
"",Atelopus guanujo,,CR(PE),2004,1988
"",Atelopus halihelos,Morona-Santiago Stubfoot Toad,CR(PE),2006,1984
"",Atelopus lynchi,,CR(PE),2004,1984
"",Atelopus mindoensis,Mindo Stubfoot Toad,CR(PE),2004,1989
"",Atelopus muisca,La Arboleda Stubfoot Toad,CR(PE),2004,1996
"",Atelopus nanay,,CR(PE),2004,1989
"",Atelopus onorei,,CR(PE),2008,1990
"",Atelopus oxyrhynchus,Rednose Stubfoot Toad,CR(PE),2004,1994
"",Atelopus pachydermus,Schmidt's Stubfoot Toad,CR(PE),2008,1995
"",Atelopus pastuso,,CR(PE),2012,1993
"",Atelopus peruensis,Peru Stubfoot Toad,CR(PE),2006,?
"",Atelopus petersi,,CR(PE),2008,1996
"",Atelopus pinangoi,Pinango Stubfoot Toad,CR(PE),2004,1997
"",Atelopus planispina,Flat-spined Atelopus,CR(PE),2004,1985
